account_id,segment,score,outcome,arr,snapshot_date
ACC-0001,Mid-Market,27,0,"$44,000",2025-09-30
ACC-0002,SMB,51,0,"$6,000",2025-09-30
ACC-0003,Mid-Market,80,0,"$70,000",2025-09-30
ACC-0004,SMB,83,0,"$19,000",2025-09-30
ACC-0005,Enterprise,100,0,"$317,000",2025-09-30
ACC-0006,SMB,74,0,"$18,000",2025-09-30
ACC-0007,Enterprise,88,0,"$362,000",2025-09-30
ACC-0008,Mid-Market,79,0,"$23,000",2025-09-30
ACC-0009,SMB,72,0,"$3,000",2025-09-30
ACC-0010,Enterprise,71,0,"$106,000",2025-09-30
ACC-0011,SMB,60,0,"$5,000",2025-09-30
ACC-0012,Mid-Market,70,1,"$35,000",2025-09-30
ACC-0013,Mid-Market,71,0,"$44,000",2025-09-30
ACC-0014,Mid-Market,69,0,"$73,000",2025-09-30
ACC-0015,Enterprise,55,0,"$383,000",2025-09-30
ACC-0016,Enterprise,71,0,"$388,000",2025-09-30
ACC-0017,SMB,69,0,"$15,000",2025-09-30
ACC-0018,Enterprise,79,0,"$378,000",2025-09-30
ACC-0019,SMB,52,0,"$15,000",2025-09-30
ACC-0020,Enterprise,80,0,"$196,000",2025-09-30
ACC-0021,Enterprise,50,0,"$278,000",2025-09-30
ACC-0022,Mid-Market,49,1,"$85,000",2025-09-30
ACC-0023,Mid-Market,62,0,"$82,000",2025-09-30
ACC-0024,Mid-Market,52,0,"$36,000",2025-09-30
ACC-0025,Mid-Market,51,1,"$46,000",2025-09-30
ACC-0026,Enterprise,45,0,"$207,000",2025-09-30
ACC-0027,Enterprise,50,0,"$265,000",2025-09-30
ACC-0028,SMB,83,0,"$4,000",2025-09-30
ACC-0029,SMB,49,0,"$5,000",2025-09-30
ACC-0030,Mid-Market,68,0,"$37,000",2025-09-30
ACC-0031,Enterprise,37,0,"$146,000",2025-09-30
ACC-0032,Enterprise,57,0,"$119,000",2025-09-30
ACC-0033,SMB,43,0,"$5,000",2025-09-30
ACC-0034,Enterprise,54,0,"$211,000",2025-09-30
ACC-0035,Mid-Market,63,0,"$30,000",2025-09-30
ACC-0036,SMB,42,1,"$18,000",2025-09-30
ACC-0037,Enterprise,74,0,"$328,000",2025-09-30
ACC-0038,Mid-Market,63,0,"$45,000",2025-09-30
ACC-0039,Enterprise,87,0,"$203,000",2025-09-30
ACC-0040,SMB,51,0,"$9,000",2025-09-30
ACC-0041,Mid-Market,52,0,"$64,000",2025-09-30
ACC-0042,SMB,58,0,"$6,000",2025-09-30
ACC-0043,Mid-Market,64,0,"$86,000",2025-09-30
ACC-0044,SMB,78,0,"$13,000",2025-09-30
ACC-0045,Enterprise,100,0,"$223,000",2025-09-30
ACC-0046,SMB,73,0,"$17,000",2025-09-30
ACC-0047,Enterprise,67,0,"$104,000",2025-09-30
ACC-0048,Enterprise,51,0,"$268,000",2025-09-30
ACC-0049,Enterprise,54,1,"$321,000",2025-09-30
